Rank,Country / Dependency,Region,Population,% of world,Date,Source (official or from the United Nations),Notes
1,China,Asia,"1,412,600,000",17.8%,31 Dec 2021,National annual estimate[2],"The population figure refers to mainland China, excluding its special administrative regions of Hong Kong and Macau, the former of which returned to Chinese sovereignty on 1 July 1997 and the latter on 20 December 1999."
2,India,Asia,"1,388,436,495",17.5%,24 Feb 2022,National population clock[3],The figure includes the population of Jammu and Kashmir
3,United States,Americas,"333,282,032",4.20%,24 Feb 2022,National population clock[4],"Includes the 50 states and the District of Columbia, but excludes the U.S. territories."
4,Indonesia[b],Asia,"271,350,000",3.42%,31 Dec 2020,National annual estimate[5],
5,Pakistan,Asia,"225,200,000",2.84%,1 Jul 2021,UN projection[1],The figure excludes the population of Pakistan-administered Kashmir
6,Brazil,Americas,"214,394,922",2.70%,24 Feb 2022,National population clock[6],
7,Nigeria,Africa,"211,401,000",2.67%,1 Jul 2021,UN projection[1],
8,Bangladesh,Asia,"172,270,738",2.17%,24 Feb 2022,National population clock[7],
9,Russia[b],Europe,"145,478,097",1.83%,1 Jan 2022,National annual estimate[8],"Including the Republic of Crimea and Sevastopol, Russia's disputed administrative areas on the Crimean Peninsula. The Ukrainian government and most of the world's other states consider the Crimean Peninsula de jure a part of Ukraine's territory."
10,Mexico,Americas,"126,014,024",1.59%,2 Mar 2020,2020 census result[9],
11,Japan,Asia,"125,340,000",1.58%,1 Feb 2022,Monthly national estimate[10],
12,Ethiopia,Africa,"117,876,000",1.49%,1 Jul 2021,UN projection[1],
13,Philippines,Asia,"111,536,230",1.41%,24 Feb 2022,Official 2020 census result[11],
14,Egypt[b],Africa,"102,969,498",1.30%,24 Feb 2022,National population clock[12],
15,Vietnam,Asia,"98,510,000",1.24%,1 Jul 2021,National annual estimate[13],
16,DR Congo,Africa,"92,378,000",1.16%,1 Jul 2021,UN projection[1],
17,Iran,Asia,"85,221,706",1.07%,24 Feb 2022,National population clock[14],
18,Turkey[b],Asia,"84,680,273",1.07%,31 Dec 2021,National annual estimate[15],
19,Germany,Europe,"83,222,442",1.05%,30 Sep 2021,National quarterly estimate[16],
20,France,Europe,"67,813,000",0.855%,1 Jan 2022,Monthly national estimate[17],"Includes the integral 18 regions of France (including 5 overseas departments and regions). Does not include France's 5 overseas collectivities: French Polynesia, Saint Barthélemy, Saint Martin, Saint Pierre and Miquelon, and Wallis and Futuna, and the sui generis collectivity of New Caledonia, which are shown separately. [18]"
21,United Kingdom,Europe,"67,081,234",0.846%,30 Jun 2020,National annual estimate[19],Excludes the 3 British Crown Dependencies and the 14 British Overseas Territories listed separately. Four British Overseas Territories are not listed due to their extraordinary nature. [20]
22,Thailand,Asia,"66,757,142",0.842%,24 Feb 2022,National population clock[21],
23,South Africa,Africa,"60,142,978",0.758%,1 Jul 2021,National annual estimate[22],
24,Tanzania,Africa,"59,441,988",0.749%,1 Jul 2021,National annual projection[23],Including Zanzibar.
25,Italy,Europe,"59,045,521",0.744%,30 Nov 2021,Monthly national estimate[24],
26,Myanmar,Asia,"55,294,979",0.697%,1 Jul 2021,National annual projection[25],
27,South Korea,Asia,"51,671,569",0.651%,1 Jul 2021,Monthly national estimate[26],"South Korea's status is disputed, as it is currently not recognized by North Korea. See List of states with limited recognition."
28,Colombia,Americas,"51,049,498",0.644%,30 Jun 2021,National annual projection[27],
29,Kenya,Africa,"47,564,296",0.600%,31 Aug 2019,2019 census result[28],
30,Spain,Europe,"47,394,223",0.597%,1 Jan 2021,National semi-annual estimate[29],
31,Argentina,Americas,"45,808,747",0.577%,1 Jul 2021,National annual projection[30],
32,Algeria,Africa,"45,400,000",0.572%,1 Jan 2022,National annual estimate[31],
33,Sudan,Africa,"44,219,195",0.557%,24 Feb 2022,National population clock[32],
34,Uganda,Africa,"42,885,900",0.541%,1 Jul 2021,National annual projection[33],
35,Iraq,Asia,"41,190,700",0.519%,1 Jul 2021,National annual projection[34],
36,Ukraine,Europe,"41,167,336",0.519%,1 Jan 2022,Monthly national estimate[35],"Excluding the Autonomous Republic of Crimea and the city of Sevastopol, Ukraine's de jure territory which is disputed with and de facto administered by Russia (however including the Donbas region where there are ongoing separatist insurgencies)."
37,Canada,Americas,"38,593,043",0.487%,24 Feb 2022,National population clock[36],
38,Poland,Europe,"38,116,000",0.481%,30 Nov 2021,Monthly national estimate[37],
39,Morocco,Africa,"36,524,963",0.460%,24 Feb 2022,National population clock[38],Excluding the disputed territory of Western Sahara (Sahrawi Arab Democratic Republic).
40,Uzbekistan,Asia,"35,392,095",0.446%,24 Feb 2022,National population clock[39],
41,Saudi Arabia,Asia,"35,013,414",0.441%,1 Jul 2020,National annual estimate[40],
42,Peru,Americas,"33,035,304",0.416%,1 Jul 2021,National annual projection[41],
43,Afghanistan,Asia,"32,890,171",0.415%,1 Jul 2020,National annual estimate[42],
44,Malaysia,Asia,"32,699,400",0.412%,24 Feb 2022,National population clock[43],
45,Angola,Africa,"32,097,671",0.405%,30 Jun 2021,National annual projection[44],
46,Mozambique,Africa,"30,832,244",0.389%,1 Jul 2021,National annual projection[45],
47,Ghana,Africa,"30,792,608",0.388%,27 Jun 2021,Provisional 2021 census results[46],
48,Yemen,Asia,"30,491,000",0.384%,1 Jul 2021,UN projection[1],
49,Nepal,Asia,"29,192,480",0.368%,11 Nov 2021,2021 census result[47],
50,Venezuela,Americas,"28,705,000",0.362%,1 Jul 2021,UN projection[1],
51,Ivory Coast,Africa,"27,087,732",0.341%,1 Jul 2021,National annual projection[48],
52,Madagascar,Africa,"26,923,353",0.339%,1 Jul 2021,National annual projection[49],
53,Australia,Oceania,"25,954,217",0.327%,24 Feb 2022,National population clock[50],"Excluding the external territories of Christmas Island, the Cocos (Keeling) Islands, and Norfolk Island."
54,North Korea,Asia,"25,660,000",0.323%,1 Jul 2021,National annual projection[51],"North Korea's status is disputed, as it is currently not recognized by certain countries. See List of states with limited recognition."
55,Cameroon,Africa,"24,348,251",0.307%,1 Jul 2019,National annual projection[52],
56,Niger,Africa,"24,112,753",0.304%,1 Jul 2021,National annual projection[53],
–,Taiwan,Asia,"23,375,314",0.295%,31 Dec 2021,Monthly national estimate[54],"Taiwan also includes the minor islands of Penghu, Kinmen, and Matsu etc. The UN does not recognize Taiwan as a sovereign state."
57,Sri Lanka,Asia,"22,156,000",0.279%,1 Jul 2021,National annual estimate[55],
58,Burkina Faso,Africa,"21,510,181",0.271%,1 Jul 2020,National annual projection[56],
59,Mali,Africa,"20,856,000",0.263%,1 Jul 2021,UN projection[1],
60,Chile,Americas,"19,678,363",0.248%,30 Jun 2021,National annual projection[57],
61,Romania,Europe,"19,186,201",0.242%,1 Jan 2021,National annual estimate[58],
62,Kazakhstan[b],Asia,"19,167,824",0.242%,24 Feb 2022,National population clock[59],
63,Malawi,Africa,"18,898,441",0.238%,1 Jul 2021,National annual projection[60],
64,Zambia,Africa,"18,400,556",0.232%,1 Jul 2021,National annual projection[61],
65,Syria,Asia,"18,276,000",0.230%,1 Jul 2021,UN projection[1],
66,Ecuador,Americas,"17,925,192",0.226%,24 Feb 2022,National population clock[62],
67,Netherlands,Europe,"17,693,581",0.223%,24 Feb 2022,National population clock[63],"Excluding the three constituent countries of the Kingdom of the Netherlands in the Caribbean Sea (Aruba, Curaçao, and Sint Maarten), but including the three special municipalities of the Caribbean Netherlands (Bonaire, Sint Eustatius, and Saba)."
68,Senegal,Africa,"17,223,497",0.217%,1 Jul 2021,National annual projection[64],
69,Guatemala,Americas,"17,109,746",0.216%,1 Jul 2021,National annual projection[65],
70,Chad,Africa,"16,818,391",0.212%,1 Jul 2021,National annual projection[66],
71,Somalia,Africa,"16,360,000",0.206%,1 Jul 2021,UN projection[1],Including Somaliland.
72,Zimbabwe,Africa,"15,790,716",0.199%,1 Jul 2021,National annual projection[67],
73,Cambodia,Asia,"15,552,211",0.196%,3 Mar 2019,2019 census result[68],
74,South Sudan,Africa,"13,249,924",0.167%,1 Jul 2020,National annual projection[69],
75,Rwanda,Africa,"12,955,768",0.163%,1 Jul 2021,National annual projection[70],
76,Guinea,Africa,"12,907,395",0.163%,1 Jul 2021,National annual projection[71],
77,Burundi,Africa,"12,574,571",0.159%,1 Jul 2021,National annual projection[72],
78,Benin,Africa,"12,506,347",0.158%,1 Jul 2021,National annual projection[73],
79,Bolivia,Americas,"11,797,257",0.149%,1 Jul 2021,National annual projection[74],
80,Tunisia,Africa,"11,746,695",0.148%,1 Jul 2020,National semi-annual estimate[75],
81,Haiti,Americas,"11,743,017",0.148%,1 Jul 2020,National annual projection[76],
82,Belgium,Europe,"11,617,817",0.146%,1 Dec 2021,Monthly national estimate[77],
83,Cuba,Americas,"11,181,595",0.141%,31 Dec 2020,National annual estimate[78],
84,Jordan,Asia,"11,151,128",0.141%,24 Feb 2022,National population clock[79],
85,Greece,Europe,"10,678,632",0.135%,1 Jan 2021,National annual estimate[80],
86,Dominican Republic,Americas,"10,535,535",0.133%,1 Jul 2021,National annual projection[81],
87,Czech Republic,Europe,"10,524,167",0.133%,27 Mar 2021,2021 census result[82],
88,Sweden,Europe,"10,452,326",0.132%,31 Dec 2021,Monthly national estimate[83],
89,Portugal,Europe,"10,347,892",0.130%,22 Mar 2021,2021 census preliminary results[84],
90,Azerbaijan[b],Asia,"10,156,366",0.128%,1 Jan 2022,Monthly national estimate[85],
