County,Zkratka  ČSÚ,Zkratka  na RZ,Krajské město,Počet obyvatel  (2021)[16],Rozloha  (km²),Hustota  zalidnění  (/km²),"HDP  (mld. Kč,  2016)",HDP na obyv.  (2016)
Hlavní město Praha,PHA,A,Praha,1335084,496.21,2360,1193.2,937.542
Středočeský kraj,STČ,S,Praha,1397997,10928.5,104,552.5,414.379
Jihočeský kraj,JHČ,C,České Budějovice,643551,10058,62,238.6,373.833
Plzeňský kraj,PLK,P,Plzeň,591041,7648.91,73,243.9,422.251
Karlovarský kraj,KVK,K,Karlovy Vary,293311,3310.34,92,89.5,300.894
Ústecký kraj,ULK,U,Ústí nad Labem,817004,5338.66,154,274.3,333.521
Liberecký kraj,LBK,L,Liberec,442476,3163.41,135,155.1,352.313
Královéhradecký kraj,HKK,H,Hradec Králové,550803,4759.09,115,221.1,401.056
Pardubický kraj,PAK,E,Pardubice,522856,4519.22,112,186.2,360.372
Kraj Vysočina,VYS,J,Jihlava,508852,6795.73,75,190.1,373.421
Jihomoravský kraj,JHM,B,Brno,1195327,7187.83,165,513.7,436.043
Olomoucký kraj,OLK,M,Olomouc,630522,5271.54,123,219.9,346.789
Moravskoslezský kraj,MSK,T,Ostrava,1192834,5426.83,227,466.7,385.247
Zlínský kraj,ZLK,Z,Zlín,580119,3963.04,149,228.6,391.336
,,CZ,,10701777,78871.01,136,4733.4,451.932
