District,Zkratka,Rozloha[km²],Počet obyvatel(ČSÚ 2011),Hustota zalidnění[obyv./km²],Počet obcí,County,Územní kraj(kraj v letech 1960–2020)
Okres Benešov,BN,1474.69,95459,64.73,114,Středočeský kraj,Středočeský kraj
Okres Beroun,BE,661.91,86160,130.17,85,Středočeský kraj,Středočeský kraj
Okres Blansko,BK,862.65,105708,122.54,116,Jihomoravský kraj,Jihomoravský kraj
Okres Brno-město,BM,230.22,385913,1676.28,1,Jihomoravský kraj,Jihomoravský kraj
Okres Brno-venkov,BI,1498.95,206300,137.63,187,Jihomoravský kraj,Jihomoravský kraj
Okres Bruntál,BR,1536.06,92693,60.34,67,Moravskoslezský kraj,Severomoravský kraj
Okres Břeclav,BV,1048.91,112828,107.57,63,Jihomoravský kraj,Jihomoravský kraj
Okres Česká Lípa,CL,1072.91,100756,93.91,57,Liberecký kraj,Severočeský kraj
Okres České Budějovice,CB,1638.3,186462,113.81,109,Jihočeský kraj,Jihočeský kraj
Okres Český Krumlov,CK,1615.03,60516,37.47,46,Jihočeský kraj,Jihočeský kraj
Okres Děčín,DC,908.58,128834,141.8,52,Ústecký kraj,Severočeský kraj
Okres Domažlice,DO,1123.46,59926,53.34,85,Plzeňský kraj,Západočeský kraj
Okres Frýdek-Místek,FM,1208.49,207756,171.91,72,Moravskoslezský kraj,Severomoravský kraj
Okres Havlíčkův Brod,HB,1264.95,94217,74.48,120,Kraj Vysočina,Východočeský kraj
Okres Hodonín,HO,1099.13,153225,139.41,82,Jihomoravský kraj,Jihomoravský kraj
Okres Hradec Králové,HK,891.62,162661,182.43,104,Královéhradecký kraj,Východočeský kraj
Okres Cheb,CH,1045.94,90188,86.23,40,Karlovarský kraj,Západočeský kraj
Okres Chomutov,CV,935.3,122157,130.61,44,Ústecký kraj,Severočeský kraj
Okres Chrudim,CR,992.62,103199,103.97,108,Pardubický kraj,Východočeský kraj
Okres Jablonec nad Nisou,JN,402.3,88200,219.24,34,Liberecký kraj,Severočeský kraj
Okres Jeseník,JE,718.96,38779,53.94,24,Olomoucký kraj,Severomoravský kraj
Okres Jičín,JC,886.63,79702,89.89,111,Královéhradecký kraj,Východočeský kraj
Okres Jihlava,JI,1199.32,110522,92.15,123,Kraj Vysočina,Jihomoravský kraj
Okres Jindřichův Hradec,JH,1943.69,90604,46.61,106,Jihočeský kraj,Jihočeský kraj
Okres Karlovy Vary,KV,1514.95,115446,76.2,54,Karlovarský kraj,Západočeský kraj
Okres Karviná,KI,356.24,256394,719.72,17,Moravskoslezský kraj,Severomoravský kraj
Okres Kladno,KD,719.61,158799,220.67,100,Středočeský kraj,Středočeský kraj
Okres Klatovy,KT,1945.69,85726,44.06,94,Plzeňský kraj,Západočeský kraj
Okres Kolín,KO,743.57,96001,129.11,89,Středočeský kraj,Středočeský kraj
Okres Kroměříž,KM,795.67,105569,132.68,79,Zlínský kraj,Jihomoravský kraj
Okres Kutná Hora,KH,916.93,73404,80.05,88,Středočeský kraj,Středočeský kraj
Okres Liberec,LI,988.87,169878,171.79,59,Liberecký kraj,Severočeský kraj
Okres Litoměřice,LT,1032.16,117278,113.62,105,Ústecký kraj,Severočeský kraj
Okres Louny,LN,1117.65,85191,76.22,70,Ústecký kraj,Severočeský kraj
Okres Mělník,ME,701.08,104659,149.28,69,Středočeský kraj,Středočeský kraj
Okres Mladá Boleslav,MB,1022.83,123659,120.9,120,Středočeský kraj,Středočeský kraj
Okres Most,MO,467.16,111775,239.26,26,Ústecký kraj,Severočeský kraj
