Stát,Formální název,Kontinent,Hlavní město,Členství ve strukturách OSN,Zpochybnění svrchovanosti,Další informace
Afghánistán,Afghánská islámská republika (de iure)Islámský emirát Afghánistán (de facto),Asie,Kábul,Členský stát OSN,není,
Albánie,Albánská republika,Evropa,Tirana,Členský stát OSN,není,
Alžírsko,Alžírská demokratická a lidová republika,Afrika,Alžír,Členský stát OSN,není,
Andorra,Andorrské knížectví,Evropa,Andorra la Vella,Členský stát OSN,není,"Andorra je spolu-knížectvím. Držiteli funkce hlavy státu jsou ex officio francouzský prezident a biskup Urgellské diecéze, který je sám jmenován Svatým stolcem."
Angola,Angolská republika,Afrika,Luanda,Členský stát OSN,není,
Antigua a Barbuda,Antigua a Barbuda,Severní Amerika,Saint John's,Členský stát OSN,není,Antigua a Barbuda je Commonwealth realm[pozn. 1] s jedním autonomním regionem Barbudou.
Argentina,Argentinská republika,Jižní Amerika,Buenos Aires,Členský stát OSN,není,Argentina je federací skládající se z 23 provincii a federálního distriktu.
Arménie,Arménská republika,Asie,Jerevan,Členský stát OSN,Neuznávána Pákistánem,Podrobně: Konflikt v Náhorním Karabachu.
Austrálie,Australské společenství,Oceánie,Canberra,Členský stát OSN,není,Austrálie je Commonwealth realm[pozn. 1] a federace šesti států a deseti teritorii. Externími australskými územími jsou: Ashmorův a Cartierův ostrov Australské antarktické území[pozn. 2] Heardův ostrov a McDonaldovy ostrovy  Kokosové ostrovy Ostrovy Korálového moře  Norfolk  Vánoční ostrov
Ázerbájdžán,Ázerbájdžánská republika,Asie,Baku,členský stát OSN,není,"Obsahuje dva autonomní regiony Nachičevan a Náhorní Karabach, kde však byla ustanovena de facto nezávislá Republika Arcach."
Bahamy,Bahamské společenství,Severní Amerika,Nassau,Členský stát OSN,není,Bahamy jsou Commonwealth realm.[pozn. 1]
Bahrajn,Království Bahrajn,Asie,Manáma,Členský stát OSN,není,
Bangladéš,Bangladéšská lidová republika,Asie,Dháka,Členský stát OSN,není,
Barbados,Barbados,Severní Amerika,Bridgetown,Členský stát OSN,není,
Belgie,Belgické království,Evropa,Brusel,Členský stát OSN,není,Belgie je federace rozdělená na společenství a regiony podle jazykového klíče. Členský stát EU.[pozn. 3]
Belize,Belize,Severní Amerika,Belmopan,Členský stát OSN,není,Belize je Commonwealth realm.[pozn. 1]
Bělorusko,Běloruská republika,Evropa,Minsk,Členský stát OSN,není,Bělorusko vytvořilo Svazový stát spolu s Ruskem.
Benin[pozn. 4],Beninská republika,Afrika,Porto Novo (sídlo parlamentu)Cotonou (sídlo vlády),Členský stát OSN,není,
Bhútán,Bhútánské království,Asie,Thimbú,Členský stát OSN,není,
Bolívie,Mnohonárodnostní stát Bolívie,Jižní Amerika,Sucre (ústavní)La Paz (sídlo vlády),Členský stát OSN,není,
Bosna a Hercegovina,Bosna a Hercegovina,Evropa,Sarajevo,Členský stát OSN,není,Bosna a Hercegovina je federací skládající se ze dvou entit:  Federace Bosny a Hercegoviny  Republika srbská a samosprávného distriktu Brčko.
Botswana,Botswanská republika,Afrika,Gaborone,Členský stát OSN,není,
Brazílie,Brazilská federativní republika,Jižní Amerika,Brasília,Členský stát OSN,není,Brazílie je federací 26 států a jednoho federálního distriktu.
Brunej,Brunej Darussalam[1],Asie,Bandar Seri Begawan,Členský stát OSN,není,
Bulharsko,Bulharská republika,Evropa,Sofie,Členský stát OSN,není,Členský stát EU.[pozn. 3]
Burkina Faso[pozn. 5],Burkina Faso,Afrika,Ouagadougou,Členský stát OSN,není,
Burundi,Burundská republika,Afrika,Gitega,Členský stát OSN,není,
Čad,Čadská republika,Afrika,N'Djamena,Členský stát OSN,není,
Černá Hora,Černá Hora,Evropa,Podgorica,Členský stát OSN,není,
Česko[2],Česká republika[pozn. 6],Evropa,Praha,Členský stát OSN,není,Členský stát EU.[pozn. 3]
Čína[pozn. 7],Čínská lidová republika,Asie,Peking,Členský stát OSN,Částečně neuznaná. Nárokována Čínskou republikou.[pozn. 8],"Čína se skládá z pěti autonomních regionů: Kuang-si, Vnitřního Mongolska, Ning-sia, Sin-ťiangu a Tibetské autonomní oblasti. Navíc obsahuje dvě Zvláštní správní oblasti:  Hongkong  Macao Čínská lidová republika není uznávána 19 členskými státy OSN a Svatým stolcem, které uznávají Čínskou republiku na Tchaj-wanu. Čínská lidová republika si nárokuje, ale nekontroluje ostrov Tchaj-wan, který po občanské válce zůstal v rukou Kuomintangu."
Dánsko,Dánské království,Evropa,Kodaň,Členský stát OSN,není,"Dánské království zahrnuje dvě samosprávná teritoria:  Faerské ostrovy  Grónsko Členský stát EU,[pozn. 3] její zákony ale neplatí v samosprávných teritoriích."
Dominika,Dominické společenství,Severní Amerika,Roseau,Členský stát OSN,není,
Dominikánská republika,Dominikánská republika,Severní Amerika,Santo Domingo,Členský stát OSN,není,
Džibutsko,Džibutská republika,Afrika,Džibuti,Členský stát OSN,není,
Egypt,Egyptská arabská republika,Afrika,Káhira,Členský stát OSN,není,
Ekvádor,Ekvádorská republika,Jižní Amerika,Quito,Členský stát OSN,není,
Eritrea,Stát Eritrea,Afrika,Asmara,Členský stát OSN,není,
Estonsko,Estonská republika,Evropa,Tallinn,Členský stát OSN,není,Členský stát EU.[pozn. 3]
Etiopie,Etiopská federativní demokratická republika,Afrika,Addis Abeba,Členský stát OSN,není,Etiopie je federací 9 států a dvou samosprávných měst.
Fidži,Fidžijská republika,Oceánie,Suva,Členský stát OSN,není,Fidži obsahuje autonomní území Rotuma.
Filipíny,Filipínská republika,Asie,Manila,Členský stát OSN,není,Filipíny obsahují jeden autonomní region.
Finsko,Finská republika,Evropa,Helsinky,Členský stát OSN,není,Členský stát EU.[pozn. 3]  Alandy jsou neutrálním a demilitarizovaným regionem Finska.
Francie,Francouzská republika,Evropa,Paříž,Členský stát OSN,není,"Členský stát EU.[pozn. 3] Součástí Francie je pět zámořských regionů/departmentů: Francouzská Guyana, Guadeloupe, Martinik, Mayotte a Réunion. Součástí Francie jsou také tato území:  Clippertonův ostrov  Francouzská Polynésie  Nová Kaledonie Saint Pierre a Miquelon Svatý Bartoloměj Svatý Martin Wallis a Futuna Francouzská jižní a antarktická území[pozn. 2]"
Gabon,Gabonská republika,Afrika,Libreville,Členský stát OSN,není,
Gambie,Gambijská republika,Afrika,Banjul,Členský stát OSN,není,
Ghana,Ghanská republika,Afrika,Akkra,Členský stát OSN,není,
Grenada,Grenada,Severní Amerika,Saint George's,Členský stát OSN,není,Grenada je součástí Commonwealth realm.[pozn. 1]
Gruzie,Gruzie,Asie,Tbilisi,Členský stát OSN,není,Obsahuje dvě autonomní republiky Abcházii a Adžárii. V Abcházii a Jižní Osetii byly zformovány de-facto nezávislé státy.
